Statistic,LengthInf,LengthSup,LengthBase,CosAngle+1,SinAngle+1,Area,Height
Mean,10.170499129838207,10.170499121944793,15.94697373144085,0.9149311049822321,1.478867418376722,61.65306653998391,5.194888411526719
Std,9.90802138358062,9.908021383580614,12.924789525297319,0.2688403604344785,0.8313609103903458,180.68162477244113,4.600590588793747
Max,377.57574462890625,377.57574462890625,421.9273376464844,1.9999970197677612,2.0,20533.638671875,137.04505920410156
Min,0.0,0.0,0.0019792395178228617,1.5233306385198375e-06,-2.220446049250313e-16,0.0,0.0
